case_id,user_text,alpha,text_top_emotion,text_top_probability,face_top_emotion,face_top_probability,fused_top_emotion,fused_top_probability,text_only_top_emotion,face_only_top_emotion,empathetic_response
1,I am really happy with how this turned out.,0.0,happy,0.4262295081967213,neutral,0.62,neutral,0.62,happy,neutral,That seems steady. I can help with the next step.
2,Today felt rough and I am still sad about it.,0.0,sad,0.4262295081967213,neutral,0.62,neutral,0.62,sad,neutral,"This reads as neutral, so I will keep the response practical."
3,I am frustrated because the system keeps failing.,0.0,angry,0.4166666666666667,neutral,0.62,neutral,0.62,angry,neutral,Understood. I will stay focused and supportive.
4,"I feel okay, just checking in for now.",0.0,neutral,0.738095238095238,neutral,0.62,neutral,0.62,neutral,neutral,Understood. I will stay focused and supportive.
5,I am nervous about the presentation tomorrow.,0.0,fear,0.396551724137931,neutral,0.62,neutral,0.62,fear,neutral,"This reads as neutral, so I will keep the response practical."
6,"Wow, I did not expect that result at all.",0.0,surprise,0.33962264150943394,neutral,0.62,neutral,0.62,surprise,neutral,Understood. I will stay focused and supportive.
7,That smelled gross and made me uncomfortable.,0.0,disgust,0.396551724137931,neutral,0.62,neutral,0.62,disgust,neutral,That seems steady. I can help with the next step.
8,I am excited and relieved after finishing the task.,0.0,happy,0.5070422535211268,neutral,0.62,neutral,0.62,happy,neutral,That seems steady. I can help with the next step.
9,"It is a mixed day: part of me feels hopeful, part of me feels tired.",0.0,neutral,0.5,neutral,0.62,neutral,0.62,neutral,neutral,That seems steady. I can help with the next step.
10,"I am angry, but also a little worried about what comes next.",0.0,angry,0.32530120481927705,neutral,0.62,neutral,0.62,angry,neutral,That seems steady. I can help with the next step.
11,The meeting was fine and nothing unusual happened.,0.0,neutral,0.6301369863013698,neutral,0.62,neutral,0.62,neutral,neutral,Thanks for sharing. I will keep things straightforward.
12,"I feel a bit disappointed, but I can recover from it.",0.0,sad,0.3859649122807018,neutral,0.62,neutral,0.62,sad,neutral,That seems steady. I can help with the next step.
1,I am really happy with how this turned out.,0.25,happy,0.4262295081967213,neutral,0.62,neutral,0.5264754098360656,happy,neutral,That seems steady. I can help with the next step.
2,Today felt rough and I am still sad about it.,0.25,sad,0.4262295081967213,neutral,0.62,neutral,0.5264754098360656,sad,neutral,"This reads as neutral, so I will keep the response practical."
3,I am frustrated because the system keeps failing.,0.25,angry,0.4166666666666667,neutral,0.62,neutral,0.5275,angry,neutral,Understood. I will stay focused and supportive.
